id,student_id,first_name,last_name,email_address,course_id
1,3121385,Nishant,Malik,nishant.malik@stud.srh-campus-berlin.de,1
2,3121132,Amrutha,Manjunath,amrutha.manjunath@stud.srh-campus-berlin.de,1
3,3009992,Mike,Hussey,mike.hussey@stud.srh-campus-berlin.de,2
4,3009991,Mark,Waugh,mark.waugh@stud.srh-campus-berlin.de,2
5,3009990,Steve,Waugh,steve.waugh@stud.srh-campus-berlin.de,2
6,3009989,David,Warner,david.warner@stud.srh-campus-berlin.de,2
7,3121385,Nishant,Malik,nishant.malik@stud.srh-campus-berlin.de,3
8,3001200,Clark,Kent,clark.kent@stud.srh-campus-berlin.de,5
9,3111111,John,Doe,john.doe@stud.srh-campus-berlin.de,3
10,3256251,Johny,Walker,johny.walker@stud.srh-campus-berlin.de,4
11,3121211,Old,Monk,old.monk@stud.srh-campus-berlin.de,4
12,3223223,Jack,Daniels,jack.daniels@stud.srh-campus-berlin.de,4
13,3456345,Mark,Zuckerberg,mark.zuckerberg@stud.srh-campus-berlin.de,5
14,3113113,Jeff,Besos,jeff.besos@stud.srh-campus-berlin.de,5
15,3111111,John,Doe,john.doe@stud.srh-campus-berlin.de,5
16,3001200,Clark,Kent,clark.kent@stud.srh-campus-berlin.de,4
17,3456345,Mark,Zuckerberg,mark.zuckerberg@stud.srh-campus-berlin.de,3
18,3113113,Jeff,Besos,jeff.besos@stud.srh-campus-berlin.de,3
19,3121132,Amrutha,Manjunath,amrutha.manjunath@stud.srh-campus-berlin.de,3
20,3009989,David,Warner,david.warner@stud.srh-campus-berlin.de,1
21,3223223,Jack,Daniels,jack.daniels@stud.srh-campus-berlin.de,1
22,3256251,Johny,Walker,johny.walker@stud.srh-campus-berlin.de,5
23,3009991,Mark,Waugh,mark.waugh@stud.srh-campus-berlin.de,5
24,3009992,Mike,Hussey,mike.hussey@stud.srh-campus-berlin.de,5
25,3121211,Old,Monk,old.monk@stud.srh-campus-berlin.de,1
26,3009990,Steve,Waugh,steve.waugh@stud.srh-campus-berlin.de,4
27,4121210,Kevin,Pearson,kevin.pearson@stud.srh-campus-berlin.de,5
28,4121211,Kate,Pearson,kate.pearson@stud.srh-campus-berlin.de,5
29,4121212,Randall,Pearson,randall.pearson@stud.srh-campus-berlin.de,1
30,4121213,Rebecca,Pearson,rebecca.pearson@stud.srh-campus-berlin.de,1
31,4121210,Kevin,Pearson,kevin.pearson@stud.srh-campus-berlin.de,3
32,4121211,Kate,Pearson,kate.pearson@stud.srh-campus-berlin.de,3
33,4121212,Randall,Pearson,randall.pearson@stud.srh-campus-berlin.de,3
34,4121213,Rebecca,Pearson,rebecca.pearson@stud.srh-campus-berlin.de,3
